date,BAYC
2019-04-25,117
2019-04-26,276
2019-04-27,106
2019-04-28,211
2019-04-29,75
2019-04-30,227
2019-05-01,63
2019-05-02,229
2019-05-03,240
2019-05-04,199
2019-05-05,259
2019-05-06,146
2019-05-07,194
2019-05-08,69
2019-05-09,106
2019-05-10,310
2019-05-11,213
2019-05-12,209
2019-05-13,270
2019-05-14,280
2019-05-15,270
2019-05-16,274
2019-05-17,188
2019-05-18,69
2019-05-19,121
2019-05-20,141
2019-05-21,118
2019-05-22,207
2019-05-23,96
2019-05-24,183
2019-05-25,165
2019-05-26,105
2019-05-27,48
2019-05-28,87
2019-05-29,137
2019-05-30,234
2019-05-31,0
2019-06-07,57
2019-06-08,344
2019-06-09,229
2019-06-10,199
2019-06-11,67
2019-06-12,200
2019-06-13,38
2019-06-14,181
2019-06-15,358
2019-06-16,174
2019-06-17,288
2019-06-18,307
2019-06-19,269
2019-06-20,238
2019-06-21,75
2019-06-22,202
2019-06-23,280
2019-06-24,117
2019-06-25,396
2019-06-26,27
2019-06-27,96
2019-06-28,175
2019-06-29,75
2019-06-30,205
2019-07-01,208
2019-07-02,115
2019-07-03,204
2019-07-04,265
2019-07-05,139
2019-07-06,162
2019-07-07,122
2019-07-08,88
2019-07-09,173
2019-07-10,138
2019-07-11,217
2019-07-12,273
2019-07-13,175
2019-07-14,225
2019-07-15,126
2019-07-16,148
2019-07-17,229
2019-07-18,172
2019-07-19,217
2019-07-20,306
2019-07-21,252
2019-07-22,64
2019-07-23,184
2019-07-24,275
2019-07-25,158
2019-07-26,62
2019-07-27,350
2019-07-28,169
2019-07-29,151
2019-07-30,93
2019-07-31,76
2019-08-01,123
2019-08-02,137
2019-08-03,127
2019-08-04,192
2019-08-05,367
2019-08-06,180
2019-08-07,108
2019-08-08,71
2019-08-09,31
2019-08-10,152
2019-08-11,215
2019-08-12,237
2019-08-13,100
2019-08-14,179
2019-08-15,141
2019-08-16,146
2019-08-17,226
2019-08-18,214
2019-08-19,91
2019-08-20,203
2019-08-21,183
2019-08-22,125
2019-08-23,26
2019-08-24,112
2019-08-25,149
2019-08-26,241
2019-08-27,41
2019-08-28,456
2019-08-29,153
2019-08-30,253
2019-08-31,320
2019-09-01,219
2019-09-02,298
2019-09-03,166
2019-09-04,98
2019-09-05,148
2019-09-06,195
2019-09-07,307
2019-09-08,254
2019-09-09,192
2019-09-10,155
2019-09-11,92
2019-09-12,168
2019-09-13,539
2019-09-14,252
2019-09-15,162
2019-09-16,197
2019-09-17,303
2019-09-18,160
2019-09-19,166
2019-09-20,99
2019-09-21,319
2019-09-22,376
2019-09-23,227
2019-09-24,155
2019-09-25,146
2019-09-26,144
2019-09-27,0
2019-11-01,123
2019-11-02,140
2019-11-03,172
2019-11-04,177
2019-11-05,102
2019-11-06,328
2019-11-07,79
2019-11-08,135
2019-11-09,26
2019-11-10,141
2019-11-11,226
2019-11-12,84
2019-11-13,247
2019-11-14,49
2019-11-15,103
2019-11-16,122
2019-11-17,183
2019-11-18,239
2019-11-19,76
2019-11-20,73
2019-11-21,241
2019-11-22,88
2019-11-23,102
2019-11-24,213
2019-11-25,283
2019-11-26,266
2019-11-27,192
2019-11-28,169
2019-11-29,224
2019-11-30,95
2019-12-01,206
2019-12-02,229
2019-12-03,360
2019-12-04,252
2019-12-05,66
2019-12-06,161
2019-12-07,249
2019-12-08,232
2019-12-09,84
2019-12-10,265
2019-12-11,50
2019-12-12,210
2019-12-13,103
2019-12-14,137
2019-12-15,92
2019-12-16,87
2019-12-17,83
2019-12-18,38
