date,NFT
2022-01-13,1600
2022-01-14,1794
2022-01-15,1649
2022-01-16,1714
2022-01-17,1645
2022-01-18,1715
2022-01-19,1736
2022-01-20,1682
2022-01-21,1955
2022-01-22,1823
2022-01-23,1792
2022-01-24,1728
2022-01-25,1715
2022-01-26,1669
2022-01-27,1606
2022-01-28,1947
2022-01-29,1831
2022-01-30,1772
2022-01-31,1645
2022-02-01,1812
2022-02-02,1759
2022-02-03,1625
2022-02-04,2013
2022-02-05,1921
2022-02-06,1881
2022-02-07,1900
2022-02-08,1815
2022-02-09,1705
2022-02-10,1563
2022-02-11,1878
2022-02-12,1709
2022-02-13,1732
2022-02-14,1634
2022-02-15,1698
2022-02-16,1727
2022-02-17,1666
2022-02-18,1779
2022-02-19,1645
2022-02-20,1678
2022-02-21,1589
2022-02-22,1553
2022-02-23,1588
2022-02-24,1303
2022-02-25,1852
2022-02-26,1778
2022-02-27,1829
2022-02-28,1707
2022-03-01,1674
2022-03-02,1771
2022-03-03,1724
2022-03-04,1952
2022-03-05,1696
2022-03-06,1710
2022-03-07,1727
2022-03-08,1649
2022-03-09,1754
2022-03-10,1701
2022-03-11,1836
2022-03-12,1725
2022-03-13,1809
2022-03-14,1832
2022-03-15,1852
2022-03-16,1943
2022-03-17,1978
2022-03-18,2066
2022-03-19,2111
2022-03-20,1888
2022-03-21,1863
2022-03-22,1943
2022-03-23,1966
2022-03-24,1859
2022-03-25,1745
2022-03-26,1769
2022-03-27,1705
2022-03-28,1693
2022-03-29,1747
2022-03-30,1791
2022-03-31,1755
2022-04-01,2022
2022-04-02,1897
2022-04-03,1848
2022-04-04,1913
2022-04-05,2008
2022-04-06,2058
2022-04-07,2091
2022-04-08,1388
2022-04-09,1321
2022-04-10,1338
2022-04-11,1383
2022-04-12,1295
2022-04-13,1324
2022-04-14,1392
2022-04-15,2146
2022-04-16,1845
2022-04-17,1959
2022-04-18,1905
2022-04-19,1958
2022-04-20,1957
2022-04-21,1952
2022-04-22,1835
2022-04-23,1673
2022-04-24,1642
2022-04-25,1779
2022-04-26,1718
2022-04-27,1815
2022-04-28,1843
2022-04-29,1843
2022-04-30,1661
2022-05-01,1604
2022-05-02,1645
2022-05-03,1646
2022-05-04,1778
2022-05-05,1844
2022-05-06,1864
2022-05-07,1642
2022-05-08,1474
2022-05-09,1630
2022-05-10,1613
2022-05-11,1587
2022-05-12,1807
2022-05-13,2000
2022-05-14,1699
2022-05-15,1507
2022-05-16,1709
2022-05-17,1672
2022-05-18,1578
2022-05-19,1531
2022-05-20,1790
2022-05-21,1741
2022-05-22,1665
2022-05-23,1774
2022-05-24,1879
2022-05-25,1889
2022-05-26,1746
2022-05-27,1878
2022-05-28,1683
2022-05-29,1606
2022-05-30,1734
2022-05-31,1820
2022-06-01,1784
2022-06-02,1738
2022-06-03,1849
2022-06-04,1675
2022-06-05,1679
2022-06-06,1768
2022-06-07,1820
2022-06-08,1895
2022-06-09,1894
2022-06-10,1810
2022-06-11,1650
2022-06-12,1602
2022-06-13,1745
2022-06-14,1669
2022-06-15,1772
2022-06-16,1788
2022-06-17,1400
2022-06-18,1159
2022-06-19,1080
2022-06-20,1245
2022-06-21,1361
2022-06-22,1372
2022-06-23,1374
2022-06-24,1810
2022-06-25,1604
2022-06-26,1587
2022-06-27,1764
2022-06-28,1638
2022-06-29,1608
2022-06-30,1609
2022-07-01,1872
2022-07-02,1489
2022-07-03,1540
2022-07-04,1633
2022-07-05,1752
2022-07-06,1690
2022-07-07,1668
2022-07-08,1818
2022-07-09,1549
2022-07-10,1612
2022-07-11,1685
2022-07-12,1800
2022-07-13,1793
2022-07-14,1746
2022-07-15,1801
2022-07-16,1569
2022-07-17,1563
2022-07-18,1690
2022-07-19,1698
2022-07-20,1756
2022-07-21,1817
2022-07-22,1636
2022-07-23,1462
2022-07-24,1400
2022-07-25,1561
2022-07-26,1573
2022-07-27,1402
2022-07-28,1576
2022-07-29,1762
2022-07-30,1526
2022-07-31,1532
2022-08-01,1598
2022-08-02,1554
2022-08-03,1621
2022-08-04,1582
2022-08-05,1696
2022-08-06,1412
2022-08-07,1400
2022-08-08,1643
2022-08-09,1643
2022-08-10,1648
2022-08-11,1533
2022-08-12,1838
2022-08-13,1580
2022-08-14,1577
2022-08-15,1673
2022-08-16,1764
2022-08-17,1764
2022-08-18,1733
2022-08-19,1809
2022-08-20,1534
2022-08-21,1577
2022-08-22,1719
2022-08-23,1817
2022-08-24,1846
2022-08-25,1841
2022-08-26,1318
2022-08-27,1009
2022-08-28,1031
2022-08-29,1217
2022-08-30,1537
2022-08-31,1248
2022-09-01,1209
2022-09-02,1631
2022-09-03,1444
2022-09-04,1408
2022-09-05,1418
2022-09-06,1563
2022-09-07,1550
2022-09-08,1360
2022-09-09,1578
2022-09-10,1428
2022-09-11,1335
2022-09-12,1629
2022-09-13,1583
2022-09-14,1769
2022-09-15,1667
2022-09-16,1559
2022-09-17,1285
2022-09-18,1291
2022-09-19,1477
2022-09-20,1639
2022-09-21,1514
2022-09-22,1515
2022-09-23,1811
2022-09-24,1556
2022-09-25,1466
2022-09-26,1578
2022-09-27,1716
2022-09-28,1754
2022-09-29,1734
2022-09-30,1835
