"DateTime","Primary Sales","Secondary sales"
"2018-11-17 00:00:00",4050,751
"2018-11-18 00:00:00",3783,754
"2018-11-19 00:00:00",3319,615
"2018-11-20 00:00:00",3326,695
"2018-11-21 00:00:00",5283,862
"2018-11-22 00:00:00",5628,979
"2018-11-23 00:00:00",3730,777
"2018-11-24 00:00:00",3756,770
"2018-11-25 00:00:00",4436,677
"2018-11-26 00:00:00",4742,983
"2018-11-27 00:00:00",5218,951
"2018-11-28 00:00:00",4208,907
"2018-11-29 00:00:00",3745,686
"2018-11-30 00:00:00",5150,770
"2018-12-01 00:00:00",9495,1216
"2018-12-02 00:00:00",6711,797
"2018-12-03 00:00:00",6254,840
"2018-12-04 00:00:00",5428,938
"2018-12-05 00:00:00",4685,8867
"2018-12-06 00:00:00",4507,1004
"2018-12-07 00:00:00",4279,2068
"2018-12-08 00:00:00",2736,1677
"2018-12-09 00:00:00",3339,1046
"2018-12-10 00:00:00",2092,998
"2018-12-11 00:00:00",2604,864
"2018-12-12 00:00:00",2964,897
"2018-12-13 00:00:00",4533,908
"2018-12-14 00:00:00",3800,929
"2018-12-15 00:00:00",5109,1122
"2018-12-16 00:00:00",5124,927
"2018-12-17 00:00:00",3993,720
"2018-12-18 00:00:00",2906,760
"2018-12-19 00:00:00",3231,803
"2018-12-20 00:00:00",3986,910
"2018-12-21 00:00:00",6233,721
"2018-12-22 00:00:00",3006,739
"2018-12-23 00:00:00",6335,816
"2018-12-24 00:00:00",3134,825
"2018-12-25 00:00:00",2444,674
"2018-12-26 00:00:00",2188,723
"2018-12-27 00:00:00",2256,576
"2018-12-28 00:00:00",2398,787
"2018-12-29 00:00:00",2272,788
"2018-12-30 00:00:00",2469,564
"2018-12-31 00:00:00",2722,640
"2019-01-01 00:00:00",1805,623
"2019-01-02 00:00:00",1979,650
"2019-01-03 00:00:00",2038,637
"2019-01-04 00:00:00",2093,629
"2019-01-05 00:00:00",2175,597
"2019-01-06 00:00:00",2061,654
"2019-01-07 00:00:00",2236,915
"2019-01-08 00:00:00",1685,648
"2019-01-09 00:00:00",1758,624
"2019-01-10 00:00:00",2037,1408
"2019-01-11 00:00:00",6768,1617
"2019-01-12 00:00:00",4765,1041
"2019-01-13 00:00:00",4254,1171
"2019-01-14 00:00:00",3516,1037
"2019-01-15 00:00:00",3262,897
"2019-01-16 00:00:00",3539,853
"2019-01-17 00:00:00",2714,995
"2019-01-18 00:00:00",3624,937
"2019-01-19 00:00:00",3078,1119
"2019-01-20 00:00:00",3153,1510
"2019-01-21 00:00:00",3181,1117
"2019-01-22 00:00:00",1658,765
"2019-01-23 00:00:00",2039,977
"2019-01-24 00:00:00",2937,869
"2019-01-25 00:00:00",2251,990
"2019-01-26 00:00:00",5651,1479
"2019-01-27 00:00:00",5696,1071
"2019-01-28 00:00:00",3797,1020
"2019-01-29 00:00:00",2304,927
"2019-01-30 00:00:00",2331,995
"2019-01-31 00:00:00",2222,759
"2019-02-01 00:00:00",2702,1063
"2019-02-02 00:00:00",3217,898
"2019-02-03 00:00:00",3681,1037
"2019-02-04 00:00:00",2294,917
"2019-02-05 00:00:00",2205,804
"2019-02-06 00:00:00",1716,714
"2019-02-07 00:00:00",2079,673
"2019-02-08 00:00:00",2476,670
"2019-02-09 00:00:00",4597,1193
"2019-02-10 00:00:00",4552,1174
"2019-02-11 00:00:00",3298,1252
"2019-02-12 00:00:00",2709,1091
"2019-02-13 00:00:00",2574,1171
"2019-02-14 00:00:00",3512,1056
"2019-02-15 00:00:00",2664,988
"2019-02-16 00:00:00",5162,1213
"2019-02-17 00:00:00",3781,1245
"2019-02-18 00:00:00",3378,1089
"2019-02-19 00:00:00",1744,1024
"2019-02-20 00:00:00",1914,1776
"2019-02-21 00:00:00",2235,1288
"2019-02-22 00:00:00",3069,1186
"2019-02-23 00:00:00",3655,1199
"2019-02-24 00:00:00",3140,738
"2019-02-25 00:00:00",3306,828
"2019-02-26 00:00:00",3710,847
"2019-02-27 00:00:00",1975,862
"2019-02-28 00:00:00",1518,864
"2019-03-01 00:00:00",2647,1049
"2019-03-02 00:00:00",4159,1307
"2019-03-03 00:00:00",5647,1263
"2019-03-04 00:00:00",4297,987
"2019-03-05 00:00:00",3759,1036
"2019-03-06 00:00:00",3952,1083
"2019-03-07 00:00:00",4671,966
"2019-03-08 00:00:00",5282,1270
"2019-03-09 00:00:00",5000,1188
"2019-03-10 00:00:00",3902,1104
"2019-03-11 00:00:00",2928,1112
"2019-03-12 00:00:00",3381,1100
