,timestamp,min,max,avg
1942,2022-03-03T00:00:00Z,5.7115430055835745,90.144643091028075,27.9251806879775219
1943,2022-03-04T00:00:00Z,4.8082388137875209,53.333,20.7571339349404737
1944,2022-03-05T00:00:00Z,7.7542969203880217,36.4665584661277435,17.5692901397436684
1945,2022-03-06T00:00:00Z,7.9818257395730232,50,18.207009252028257
1946,2022-03-07T00:00:00Z,0.8872395853641727,88,17.0613060427362659
1947,2022-03-08T00:00:00Z,10.77,33.77,14.0366583830247445
1948,2022-03-09T00:00:00Z,10.0965501804949037,150,18.9981913312686688
1949,2022-03-10T00:00:00Z,8.7388202051981543,14.99,11.5034385109190124
1950,2022-03-11T00:00:00Z,8.7403226210785163,24.5,12.7344197963673232
1951,2022-03-12T00:00:00Z,6.7229220183278818,72.3107008252867503,14.8328719253017314
1952,2022-03-13T00:00:00Z,10.01824237272692,21.8,12.8050417244073801
1953,2022-03-14T00:00:00Z,0.271,22.2,13.1919253490483963
1954,2022-03-15T00:00:00Z,10.3276760522958427,26,14.2939139146426603
1955,2022-03-16T00:00:00Z,10.8155559156791048,20.494098282187867,13.3782157882581906
1956,2022-03-17T00:00:00Z,4.5364329870390368,42.100006233372255,15.189526906052661
1957,2022-03-18T00:00:00Z,4.7657428706712958,32,15.3939378399134628
1958,2022-03-19T00:00:00Z,11.7674154888101759,70,17.0147898036861792
1959,2022-03-20T00:00:00Z,12.4453490269372108,59.998,18.6204918425445164
1960,2022-03-21T00:00:00Z,13.4753202073271133,60.094701468353514,18.8667024135788091
1961,2022-03-22T00:00:00Z,11.6018413279008161,21.95,15.5811169327385603
1962,2022-03-23T00:00:00Z,12.5120411883780326,45,16.7620545501298043
1963,2022-03-24T00:00:00Z,3.975391701470941,65,16.8212392593142742
1964,2022-03-25T00:00:00Z,7.5731223412242217,75.99,18.3958168314744003
1965,2022-03-26T00:00:00Z,10.6755867977163451,69.42,17.5856308128640876
1966,2022-03-27T00:00:00Z,4.8859452593911785,55,17.2988487684820914
1967,2022-03-28T00:00:00Z,5.7374383406946389,32.505,16.0411610229893979
1968,2022-03-29T00:00:00Z,6.210343773245833,26.6599160941180742,16.3450897442496284
1969,2022-03-30T00:00:00Z,0.1200971161601521,34.4,16.2589518085720816
1970,2022-03-31T00:00:00Z,13.005,190,25.7043282132194157
1971,2022-04-01T00:00:00Z,5.0335719256931967,62.0465146898787608,17.8275176067740106
1972,2022-04-02T00:00:00Z,13.2415087715776587,43.9570731969474248,17.1089150727547983
1973,2022-04-03T00:00:00Z,0.1000654282849798,199.69,22.0145678154125292
1974,2022-04-04T00:00:00Z,18.026882184984371,77,24.9250123440006434
