"DateTime","Primary Sales","Secondary sales"
"2022-05-07 00:00:00",27290,27616
"2022-05-08 00:00:00",19529,21957
"2022-05-09 00:00:00",17961,24820
"2022-05-10 00:00:00",12960,32866
"2022-05-11 00:00:00",6515,24680
"2022-05-12 00:00:00",4337,24907
"2022-05-13 00:00:00",6321,26934
"2022-05-14 00:00:00",7231,24683
"2022-05-15 00:00:00",8751,19095
"2022-05-16 00:00:00",8436,19879
"2022-05-17 00:00:00",6340,21867
"2022-05-18 00:00:00",12840,24600
"2022-05-19 00:00:00",12099,24917
"2022-05-20 00:00:00",18021,32160
"2022-05-21 00:00:00",20945,32680
"2022-05-22 00:00:00",13471,29855
"2022-05-23 00:00:00",9058,23278
"2022-05-24 00:00:00",8332,20355
"2022-05-25 00:00:00",17665,32729
"2022-05-26 00:00:00",6638,32754
"2022-05-27 00:00:00",7477,24489
"2022-05-28 00:00:00",10199,21306
"2022-05-29 00:00:00",8521,19481
"2022-05-30 00:00:00",6285,17676
"2022-05-31 00:00:00",8695,22522
"2022-06-01 00:00:00",4854,21367
"2022-06-02 00:00:00",5857,23127
"2022-06-03 00:00:00",17187,34326
"2022-06-04 00:00:00",6209,24512
"2022-06-05 00:00:00",16771,23544
"2022-06-06 00:00:00",7539,25239
"2022-06-07 00:00:00",8995,28724
"2022-06-08 00:00:00",6430,28026
"2022-06-09 00:00:00",5267,20610
"2022-06-10 00:00:00",5913,18464
"2022-06-11 00:00:00",6382,16734
"2022-06-12 00:00:00",4804,17439
"2022-06-13 00:00:00",3743,20060
"2022-06-14 00:00:00",4392,23311
"2022-06-15 00:00:00",6879,20570
"2022-06-16 00:00:00",5829,17230
"2022-06-17 00:00:00",7668,17980
"2022-06-18 00:00:00",11099,18475
"2022-06-19 00:00:00",6585,18780
"2022-06-20 00:00:00",6210,19197
"2022-06-21 00:00:00",4875,18462
"2022-06-22 00:00:00",5306,21225
"2022-06-23 00:00:00",8607,20196
"2022-06-24 00:00:00",6420,22547
"2022-06-25 00:00:00",14734,20338
"2022-06-26 00:00:00",5630,17584
"2022-06-27 00:00:00",5596,17354
"2022-06-28 00:00:00",10808,18228
"2022-06-29 00:00:00",24277,25370
"2022-06-30 00:00:00",22341,29736
"2022-07-01 00:00:00",16144,29625
"2022-07-02 00:00:00",15670,28226
"2022-07-03 00:00:00",31604,25067
"2022-07-04 00:00:00",36021,28643
"2022-07-05 00:00:00",24942,27670
"2022-07-06 00:00:00",20441,30090
"2022-07-07 00:00:00",14063,32479
"2022-07-08 00:00:00",14179,29733
"2022-07-09 00:00:00",16123,25591
"2022-07-10 00:00:00",20655,29537
"2022-07-11 00:00:00",10311,27436
"2022-07-12 00:00:00",10551,23221
"2022-07-13 00:00:00",14585,28265
"2022-07-14 00:00:00",14220,26502
"2022-07-15 00:00:00",22807,31958
"2022-07-16 00:00:00",17587,24421
"2022-07-17 00:00:00",15818,21316
"2022-07-18 00:00:00",12414,25601
"2022-07-19 00:00:00",12154,20591
"2022-07-20 00:00:00",13366,22646
"2022-07-21 00:00:00",19568,19309
"2022-07-22 00:00:00",19007,22642
"2022-07-23 00:00:00",15288,17780
"2022-07-24 00:00:00",25212,17967
"2022-07-25 00:00:00",24661,25487
"2022-07-26 00:00:00",13665,23392
"2022-07-27 00:00:00",14035,24185
"2022-07-28 00:00:00",13266,18627
"2022-07-29 00:00:00",10767,18088
"2022-07-30 00:00:00",12226,19671
"2022-07-31 00:00:00",16140,19032
"2022-08-01 00:00:00",10173,20699
"2022-08-02 00:00:00",10645,17971
"2022-08-03 00:00:00",11909,18606
"2022-08-04 00:00:00",12429,19055
"2022-08-05 00:00:00",10729,21114
"2022-08-06 00:00:00",17570,19880
"2022-08-07 00:00:00",13533,19033
"2022-08-08 00:00:00",10523,21041
"2022-08-09 00:00:00",9385,18612
"2022-08-10 00:00:00",9272,21181
"2022-08-11 00:00:00",7394,25177
"2022-08-12 00:00:00",9484,25231
"2022-08-13 00:00:00",10543,24146
"2022-08-14 00:00:00",10763,21816
"2022-08-15 00:00:00",7490,26652
"2022-08-16 00:00:00",10991,25166
"2022-08-17 00:00:00",10329,24163
"2022-08-18 00:00:00",8969,28157
"2022-08-19 00:00:00",10502,29981
"2022-08-20 00:00:00",15006,26326
"2022-08-21 00:00:00",17341,23031
"2022-08-22 00:00:00",14169,21356
"2022-08-23 00:00:00",12958,23802
"2022-08-24 00:00:00",15979,23977
"2022-08-25 00:00:00",10768,22888
"2022-08-26 00:00:00",12003,22607
"2022-08-27 00:00:00",11750,18298
"2022-08-28 00:00:00",13732,18192
"2022-08-29 00:00:00",11140,20132
"2022-08-30 00:00:00",7760,16418
"2022-08-31 00:00:00",8640,14762
"2022-09-01 00:00:00",6726,15148
"2022-09-02 00:00:00",10095,18014
"2022-09-03 00:00:00",12430,18007
"2022-09-04 00:00:00",12414,14805
"2022-09-05 00:00:00",12525,22003
"2022-09-06 00:00:00",23513,20471
"2022-09-07 00:00:00",18773,19611
"2022-09-08 00:00:00",15075,19894
"2022-09-09 00:00:00",20459,20345
"2022-09-10 00:00:00",24016,22805
"2022-09-11 00:00:00",14575,12793
"2022-09-12 00:00:00",11326,11927
"2022-09-13 00:00:00",10372,14869
"2022-09-14 00:00:00",10012,15095
"2022-09-15 00:00:00",9453,15040
"2022-09-16 00:00:00",12253,18338
"2022-09-17 00:00:00",16258,19045
"2022-09-18 00:00:00",12339,15117
"2022-09-19 00:00:00",17953,17298
"2022-09-20 00:00:00",12686,16572
"2022-09-21 00:00:00",11168,16484
"2022-09-22 00:00:00",11272,17493
"2022-09-23 00:00:00",15026,18118
"2022-09-24 00:00:00",28857,16302
"2022-09-25 00:00:00",16652,15653
"2022-09-26 00:00:00",10073,16736
"2022-09-27 00:00:00",8902,18167
"2022-09-28 00:00:00",10987,17302
"2022-09-29 00:00:00",17100,16466
"2022-09-30 00:00:00",13588,15276
"2022-10-01 00:00:00",17700,14211
"2022-10-02 00:00:00",16795,15033
"2022-10-03 00:00:00",6693,13079
"2022-10-04 00:00:00",7921,13123
