Date,Open,High,Low,Close,Adj Close,Volume
2021-12-17,96.000000,96.690002,95.879997,96.570000,96.570000,0
2021-12-19,null,null,null,null,null,null
2021-12-20,96.669998,96.690002,96.339996,96.550003,96.550003,0
2021-12-21,96.540001,96.639999,96.339996,96.489998,96.489998,0
2021-12-22,96.470001,96.599998,96.019997,96.080002,96.080002,0
2021-12-23,96.029999,96.279999,95.989998,96.019997,96.019997,0
2021-12-26,null,null,null,null,null,null
2021-12-27,96.150002,96.260002,96.050003,96.089996,96.089996,0
2021-12-28,96.070000,96.279999,96.000000,96.199997,96.199997,0
2021-12-29,96.150002,96.400002,95.760002,95.930000,95.930000,0
2021-12-30,95.889999,96.220001,95.860001,95.970001,95.970001,0
2021-12-31,95.989998,96.110001,95.570000,95.669998,95.669998,0
2022-01-02,null,null,null,null,null,null
2022-01-03,95.669998,96.330002,95.629997,96.239998,96.239998,0
2022-01-04,96.190002,96.459999,96.029999,96.290001,96.290001,0
2022-01-05,96.309998,96.330002,95.889999,96.190002,96.190002,0
2022-01-06,96.199997,96.389999,96.040001,96.250000,96.250000,0
2022-01-07,96.260002,96.300003,95.709999,95.739998,95.739998,0
2022-01-09,null,null,null,null,null,null
2022-01-10,95.739998,96.230003,95.739998,95.989998,95.989998,0
2022-01-11,95.930000,96.070000,95.580002,95.620003,95.620003,0
2022-01-12,95.580002,95.690002,94.910004,95.000000,95.000000,0
2022-01-13,94.989998,95.019997,94.660004,94.790001,94.790001,0
2022-01-14,94.870003,95.269997,94.629997,95.169998,95.169998,0
2022-01-16,null,null,null,null,null,null
2022-01-18,95.220001,95.830002,95.129997,95.730003,95.730003,0
2022-01-19,95.769997,95.790001,95.489998,95.510002,95.510002,0
2022-01-20,95.589996,95.860001,95.419998,95.739998,95.739998,0
2022-01-21,95.809998,95.839996,95.500000,95.639999,95.639999,0
2022-01-23,null,null,null,null,null,null
2022-01-24,95.639999,96.129997,95.629997,95.919998,95.919998,0
2022-01-25,95.930000,96.269997,95.900002,95.949997,95.949997,0
2022-01-26,95.959999,96.540001,95.910004,96.489998,96.489998,0
2022-01-27,96.550003,97.290001,96.529999,97.260002,97.260002,0
2022-01-28,97.250000,97.440002,97.059998,97.269997,97.269997,0
2022-01-30,null,null,null,null,null,null
2022-01-31,97.220001,97.300003,96.519997,96.540001,96.540001,0
2022-02-01,96.699997,96.720001,96.239998,96.389999,96.389999,0
2022-02-02,96.269997,96.300003,95.809998,95.940002,95.940002,0
2022-02-03,96.019997,96.250000,95.239998,95.379997,95.379997,0
2022-02-04,95.309998,95.699997,95.139999,95.480003,95.480003,0
2022-02-06,null,null,null,null,null,null
2022-02-07,95.480003,95.629997,95.349998,95.400002,95.400002,0
2022-02-08,95.430000,95.750000,95.400002,95.639999,95.639999,0
2022-02-09,95.589996,95.669998,95.379997,95.489998,95.489998,0
2022-02-10,95.570000,96.000000,95.169998,95.550003,95.550003,0
2022-02-11,95.940002,96.110001,95.639999,96.080002,96.080002,0
2022-02-13,null,null,null,null,null,null
2022-02-14,96.029999,96.440002,95.910004,96.370003,96.370003,0
2022-02-15,96.239998,96.290001,95.959999,95.989998,95.989998,0
2022-02-16,96.010002,96.059998,95.680000,95.699997,95.699997,0
2022-02-17,95.769997,96.110001,95.709999,95.800003,95.800003,0
2022-02-18,95.830002,96.169998,95.730003,96.040001,96.040001,0
2022-02-20,null,null,null,null,null,null
2022-02-22,96.080002,96.260002,95.839996,96.029999,96.029999,0
2022-02-23,96.040001,96.239998,95.849998,96.190002,96.190002,0
2022-02-24,96.220001,97.739998,96.220001,97.139999,97.139999,0
2022-02-25,97.000000,97.220001,96.519997,96.620003,96.620003,0
2022-02-27,null,null,null,null,null,null
2022-02-28,96.540001,97.419998,96.540001,96.709999,96.709999,0
2022-03-01,96.769997,97.580002,96.629997,97.410004,97.410004,0
2022-03-02,97.370003,97.830002,97.290001,97.389999,97.389999,0
