"DateTime","Number of sales","Sales USD"
"2022-06-17 00:00:00",25648,26882382.92
"2022-06-18 00:00:00",29574,34074392.19
"2022-06-19 00:00:00",25365,37394363.18
"2022-06-20 00:00:00",25407,36036249.04
"2022-06-21 00:00:00",23337,34089756.35
"2022-06-22 00:00:00",26531,35147454.07
"2022-06-23 00:00:00",28803,28799635.61
"2022-06-24 00:00:00",28967,34232375.84
"2022-06-25 00:00:00",35072,34677207.92
"2022-06-26 00:00:00",23214,36032750.87
"2022-06-27 00:00:00",22950,32232630.4
"2022-06-28 00:00:00",29036,39108638.08
"2022-06-29 00:00:00",49647,35885813.83
"2022-06-30 00:00:00",52077,37010552.64
"2022-07-01 00:00:00",45769,33466409.71
"2022-07-02 00:00:00",43896,26999646.53
"2022-07-03 00:00:00",56671,35990273.76
"2022-07-04 00:00:00",64664,30993005.41
"2022-07-05 00:00:00",52612,29267591.28
"2022-07-06 00:00:00",50531,31602152.33
"2022-07-07 00:00:00",46542,35316733.56
"2022-07-08 00:00:00",43912,32316503.88
"2022-07-09 00:00:00",41714,34584975.64
"2022-07-10 00:00:00",50192,31306987.43
"2022-07-11 00:00:00",37747,30046982.47
"2022-07-12 00:00:00",33772,32075245.35
"2022-07-13 00:00:00",42850,35294942.65
"2022-07-14 00:00:00",40722,28141880.96
"2022-07-15 00:00:00",54765,40300380.66
"2022-07-16 00:00:00",42008,38016686.19
"2022-07-17 00:00:00",37134,41162176.84
"2022-07-18 00:00:00",38015,39622628.37
"2022-07-19 00:00:00",32745,29950603.94
"2022-07-20 00:00:00",36012,36826787.59
"2022-07-21 00:00:00",38877,35977581.59
"2022-07-22 00:00:00",41649,33442760.3
"2022-07-23 00:00:00",33068,32621194.6
"2022-07-24 00:00:00",43179,33659250.21
"2022-07-25 00:00:00",50148,35522736.64
"2022-07-26 00:00:00",37057,35906579.93
"2022-07-27 00:00:00",38220,34989616.91
"2022-07-28 00:00:00",31893,36572888.99
"2022-07-29 00:00:00",28855,37721611.73
"2022-07-30 00:00:00",31897,33601576.8
"2022-07-31 00:00:00",35172,30969230.77
"2022-08-01 00:00:00",30872,36512376.03
"2022-08-02 00:00:00",28616,35722900.9
"2022-08-03 00:00:00",30515,37158112.73
"2022-08-04 00:00:00",31484,32569919.31
"2022-08-05 00:00:00",31843,44451860.23
"2022-08-06 00:00:00",37450,36468764.41
"2022-08-07 00:00:00",32566,35755276.84
"2022-08-08 00:00:00",31564,34850369.42
"2022-08-09 00:00:00",27997,37746109.3
"2022-08-10 00:00:00",30453,37112412.66
"2022-08-11 00:00:00",32571,36651113.16
"2022-08-12 00:00:00",34715,34362888.63
"2022-08-13 00:00:00",34689,31320555.32
"2022-08-14 00:00:00",32579,31338136.07
"2022-08-15 00:00:00",34142,33347387.85
"2022-08-16 00:00:00",36157,24913345.75
"2022-08-17 00:00:00",34492,27616290.9
"2022-08-18 00:00:00",37126,23778385.83
"2022-08-19 00:00:00",40483,25184255.21
"2022-08-20 00:00:00",41332,25819099.08
"2022-08-21 00:00:00",40372,26232932.03
"2022-08-22 00:00:00",35525,25618226.05
"2022-08-23 00:00:00",36760,20652831.89
"2022-08-24 00:00:00",39956,19786466.32
"2022-08-25 00:00:00",33656,20688990.8
"2022-08-26 00:00:00",34610,12594542.21
"2022-08-27 00:00:00",30048,15853115.54
"2022-08-28 00:00:00",31924,11725956.56
"2022-08-29 00:00:00",31272,11347473.78
"2022-08-30 00:00:00",24178,17648506.17
"2022-08-31 00:00:00",23402,14249673.16
"2022-09-01 00:00:00",21874,11343029.38
"2022-09-02 00:00:00",28109,12515081.99
"2022-09-03 00:00:00",30437,10046201.23
"2022-09-04 00:00:00",27219,10267569.99
"2022-09-05 00:00:00",34528,12884918.88
"2022-09-06 00:00:00",43984,13101269.32
"2022-09-07 00:00:00",38384,13637714.5
"2022-09-08 00:00:00",34969,16268273.55
"2022-09-09 00:00:00",40804,12514122.92
"2022-09-10 00:00:00",46821,4038347.06
"2022-09-11 00:00:00",27368,3132253.32
"2022-09-12 00:00:00",23253,9184315.78
"2022-09-13 00:00:00",25241,14720170.26
"2022-09-14 00:00:00",25107,11068876.8
"2022-09-15 00:00:00",24493,11170558.02
"2022-09-16 00:00:00",30591,11507863.42
"2022-09-17 00:00:00",35303,11826335.67
"2022-09-18 00:00:00",27456,10522761.84
"2022-09-19 00:00:00",35251,10507897.57
"2022-09-20 00:00:00",29258,12234820.25
"2022-09-21 00:00:00",27652,13405419.86
"2022-09-22 00:00:00",28765,14344272.04
"2022-09-23 00:00:00",33144,14137406.92
"2022-09-24 00:00:00",45159,11543436.64
"2022-09-25 00:00:00",32305,8463719.23
"2022-09-26 00:00:00",26809,9980987.52
"2022-09-27 00:00:00",27069,12604915.85
"2022-09-28 00:00:00",28289,20020115.52
"2022-09-29 00:00:00",33566,14804241.2
"2022-09-30 00:00:00",28864,14572993.13
"2022-10-01 00:00:00",31911,16369018.17
"2022-10-02 00:00:00",31828,10209535.41
"2022-10-03 00:00:00",19772,11747121.19
"2022-10-04 00:00:00",21044,10712971.56
"2022-10-05 10:02:08",24560
"2022-10-05 10:02:09",,10032393.29
