,Date,Average USD,Active market wallets,Number of sales,Sales USD,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers,ΔAverage USD,ΔActive market wallets,ΔNumber of sales,ΔSales USD,ΔPrimary Sales,ΔSecondary sales,ΔPrimary sales USD,ΔSecondary sales USD,ΔUnique buyers,ΔUnique sellers,ETH_Open,BTC_Open,Nasdaq_Open,USD_Open,Oil_Open,Gold_Open,SVI_NFT,SVI_metaverse,Year_Month,time_2017-06,time_2017-07,time_2017-08,time_2017-09,time_2017-10,time_2017-11,time_2017-12,time_2018-01,time_2018-02,time_2018-03,time_2018-04,time_2018-05,time_2018-06,time_2018-07,time_2018-08,time_2018-09,time_2018-10,time_2018-11,time_2018-12,time_2019-01,time_2019-02,time_2019-03,time_2019-04,time_2019-05,time_2019-06,time_2019-07,time_2019-08,time_2019-09,time_2019-10,time_2019-11,time_2019-12,time_2020-01,time_2020-02,time_2020-03,time_2020-04,time_2020-05,time_2020-06,time_2020-07,time_2020-08,time_2020-09,time_2020-10,time_2020-11,time_2020-12,time_2021-01,time_2021-02,time_2021-03,time_2021-04,time_2021-05,time_2021-06,time_2021-07,time_2021-08,time_2021-09,time_2021-10,time_2021-11,time_2021-12,time_2022-01,time_2022-02,time_2022-03,time_2022-04,time_2022-05,time_2022-06,time_2022-07,time_2022-08,time_2022-09,time_2022-10,time_2022-11,SVI_OpenSea Shared Storefront,avg_price,LOG_avg_price
624,2019-03-09,11.37,1107.0,6188.0,70387.45,5000.0,1188.0,27690.61,42696.84,679.0,622.0,4.81,2.0,-1182.0,10627.61,-1098.0,-84.0,11712.13,-1084.52,-25.0,16.0,1955.54,55922.0,,,,,898.0,118.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
625,2019-03-10,16.18,1109.0,5006.0,81015.06,3902.0,1104.0,39402.74,41612.32,654.0,638.0,-3.47,-49.0,-966.0,-29661.08,-974.0,8.0,-15985.14,-13675.95,-24.0,-39.0,1934.17,51590.1,13686.23,90.57,60.2,1774.6,689.0,142.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
626,2019-03-11,12.71,1060.0,4040.0,51353.98,2928.0,1112.0,23417.6,27936.37,630.0,599.0,11.56,99.0,441.0,57405.29,453.0,-12.0,19568.64,37836.67,72.0,50.0,1849.95,52094.5,13556.01,90.9,61.68,1776.0,,277.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
627,2019-03-12,24.27,1159.0,4481.0,108759.27,3381.0,1100.0,42986.24,65773.04,702.0,649.0,-8.68,-97.0,-526.0,-47097.73,-530.0,4.0,-17262.86,-29834.88,-64.0,-36.0,1781.44,49161.3,13636.15,90.71,60.24,1793.1,,200.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
628,2019-03-13,15.59,1062.0,3955.0,61661.54,2851.0,1104.0,25723.38,35938.16,638.0,613.0,3.17,-18.0,-70.0,11232.29,1.0,-71.0,-5941.52,17173.81,5.0,-62.0,1778.63,47934.2,13841.03,90.29,60.15,1795.0,,210.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
629,2019-03-14,18.76,1044.0,3885.0,72893.83,2852.0,1033.0,19781.86,53111.97,643.0,551.0,-3.39,30.0,683.0,-2702.59,434.0,249.0,7648.45,-10351.04,-28.0,67.0,1800.6,48611.1,,90.42,,,,284.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
630,2019-03-15,15.37,1074.0,4568.0,70191.24,3286.0,1282.0,27430.31,42760.93,615.0,618.0,-6.89,45.0,2801.0,-7673.67,2705.0,96.0,-640.08,-7033.6,63.0,25.0,1815.44,47172.1,,,,,,354.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
631,2019-03-16,8.48,1119.0,7369.0,62517.57,5991.0,1378.0,26790.23,35727.33,678.0,643.0,4.27,-16.0,-783.0,21484.31,-529.0,-254.0,411.04,21073.27,-3.0,-33.0,1840.9,47373.1,,,,,,282.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
632,2019-03-17,12.75,1103.0,6586.0,84001.88,5462.0,1124.0,27201.27,56800.6,675.0,610.0,-0.29,-70.0,-2261.0,-30128.79,-2140.0,-121.0,-8972.45,-21156.33,-20.0,-73.0,1786.74,47995.0,13695.9,90.41,57.94,1825.4,,279.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
633,2019-03-18,12.46,1033.0,4325.0,53873.09,3322.0,1003.0,18228.82,35644.27,655.0,537.0,0.37,43.0,205.0,4237.16,171.0,34.0,4635.66,-398.51,20.0,25.0,1742.11,44834.8,13723.63,90.46,58.4,1844.3,,63.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
634,2019-03-19,12.83,1076.0,4530.0,58110.25,3493.0,1037.0,22864.48,35245.76,675.0,562.0,0.61,47.0,157.0,4882.14,53.0,104.0,-3437.67,8319.82,28.0,29.0,1770.81,46507.8,13751.42,90.49,58.45,1838.3,,250.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
635,2019-03-20,13.44,1123.0,4687.0,62992.39,3546.0,1141.0,19426.81,43565.58,703.0,591.0,-1.87,16.0,-264.0,-11814.99,-602.0,338.0,1330.6,-13145.59,-10.0,25.0,1750.19,46396.4,13667.14,90.91,58.11,1832.4,,204.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
636,2019-03-21,11.57,1139.0,4423.0,51177.4,2944.0,1479.0,20757.41,30419.99,693.0,616.0,-0.5,121.0,417.0,2385.77,451.0,-34.0,9295.54,-6909.78,99.0,64.0,1612.98,38853.6,13672.33,91.03,57.06,1818.1,,196.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
637,2019-03-22,11.07,1260.0,4840.0,53563.17,3395.0,1445.0,30052.95,23510.21,792.0,680.0,2.0,-63.0,1112.0,24212.98,1391.0,-279.0,8705.29,15507.69,-61.0,-14.0,1676.62,39228.9,,,,,,149.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
638,2019-03-23,13.07,1197.0,5952.0,77776.15,4786.0,1166.0,38758.24,39017.9,731.0,666.0,1.54,-23.0,237.0,12667.27,155.0,82.0,-4277.27,16944.55,-23.0,-1.0,1719.11,38300.6,,,,,,203.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
639,2019-03-24,14.61,1174.0,6189.0,90443.42,4941.0,1248.0,34480.97,55962.45,708.0,665.0,-2.34,104.0,-1024.0,-27084.3,-1088.0,64.0,-14976.14,-12108.16,44.0,70.0,1593.91,36976.4,13592.77,91.49,56.46,1794.3,,126.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
640,2019-03-25,12.27,1278.0,5165.0,63359.12,3853.0,1312.0,19504.83,43854.29,752.0,735.0,4.61,-14.0,-352.0,17864.52,-481.0,129.0,19464.92,-1600.39,-31.0,9.0,1664.19,37648.9,13454.85,91.09,55.96,1834.5,,98.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
641,2019-03-26,16.88,1264.0,4813.0,81223.64,3372.0,1441.0,38969.75,42253.9,721.0,744.0,-5.3,-40.0,-393.0,-30057.86,-259.0,-134.0,-22062.51,-7995.36,16.0,-66.0,1511.96,35486.9,13555.03,91.05,55.05,1838.5,,263.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
642,2019-03-27,11.58,1224.0,4420.0,51165.78,3113.0,1307.0,16907.24,34258.54,737.0,678.0,16.22,57.0,-405.0,60442.06,-395.0,-10.0,56190.59,4251.48,40.0,10.0,1373.31,33514.0,13371.36,91.0,53.48,1863.6,,99.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
643,2019-03-28,27.8,1281.0,4015.0,111607.84,2718.0,1297.0,73097.83,38510.02,777.0,688.0,-23.57,146.0,22584.0,912.2,22641.0,-57.0,-1356.4,2268.58,246.0,-80.0,1312.69,33106.8,13067.65,90.53,51.99,1865.0,,97.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
644,2019-03-29,4.23,1427.0,26599.0,112520.04,25359.0,1240.0,71741.43,40778.6,1023.0,608.0,3.2,-53.0,-17180.0,-42508.11,-17659.0,479.0,-48037.67,5529.57,-101.0,63.0,1377.05,34281.6,,,,,,215.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
645,2019-03-30,7.43,1374.0,9419.0,70011.93,7700.0,1719.0,23703.76,46308.17,922.0,671.0,-0.27,-97.0,1319.0,6863.47,1234.0,85.0,13195.86,-6332.38,-98.0,-2.0,1379.78,34300.0,,,,,,331.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
646,2019-03-31,7.16,1277.0,10738.0,76875.4,8934.0,1804.0,36899.62,39975.79,824.0,669.0,5.12,-2.0,-2755.0,21181.42,-2229.0,-526.0,-3138.65,24320.06,10.0,-49.0,1329.16,33381.7,13124.7,90.56,52.15,1845.6,,79.0,2019-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
647,2019-04-01,12.28,1275.0,7983.0,98056.82,6705.0,1278.0,33760.97,64295.85,834.0,620.0,9.87,-28.0,-2612.0,20909.5,-2632.0,20.0,38222.46,-17312.95,-22.0,8.0,1247.67,30408.9,13163.32,90.73,52.65,1847.2,,121.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
648,2019-04-02,22.15,1247.0,5371.0,118966.32,4073.0,1298.0,71983.43,46982.9,812.0,628.0,-5.7,-319.0,-1137.0,-49298.68,-792.0,-345.0,-49714.46,415.77,-196.0,-170.0,1366.14,32499.6,13371.16,90.15,52.76,1854.3,,318.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
649,2019-04-03,16.45,928.0,4234.0,69667.64,3281.0,953.0,22268.97,47398.67,616.0,458.0,7.82,163.0,-449.0,22178.02,-534.0,85.0,21930.47,247.55,97.0,81.0,1317.67,32244.1,13507.47,90.39,52.91,1858.7,,165.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
650,2019-04-04,24.27,1091.0,3785.0,91845.66,2747.0,1038.0,44199.44,47646.22,713.0,539.0,-3.5,26.0,-147.0,-16266.41,-45.0,-102.0,-12574.46,-3691.95,5.0,21.0,1390.69,32244.3,13515.63,90.24,52.17,1858.6,,87.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
651,2019-04-05,20.77,1117.0,3638.0,75579.25,2702.0,936.0,31624.98,43954.27,718.0,560.0,-7.54,-104.0,616.0,-19303.06,533.0,83.0,-16052.16,-3250.89,-73.0,-36.0,1233.41,32088.5,,,,,,147.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
652,2019-04-06,13.23,1013.0,4254.0,56276.19,3235.0,1019.0,15572.82,40703.38,645.0,524.0,2.91,84.0,-102.0,10735.18,52.0,-154.0,28664.49,-17929.31,75.0,0.0,1234.34,32994.1,,,,,,319.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
653,2019-04-07,16.14,1097.0,4152.0,67011.37,3287.0,865.0,44237.31,22774.07,720.0,524.0,6.72,-5.0,-837.0,8783.52,-835.0,-2.0,-11741.76,20525.27,-18.0,9.0,1118.01,30838.7,13356.18,90.05,53.1,1874.0,,55.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
654,2019-04-08,22.86,1092.0,3315.0,75794.89,2452.0,863.0,32495.55,43299.34,702.0,533.0,-3.58,-17.0,117.0,-9609.12,121.0,-4.0,-14593.17,4984.05,-12.0,-4.0,1377.63,35472.3,13356.7,90.42,52.93,1875.6,,34.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
655,2019-04-09,19.28,1075.0,3432.0,66185.77,2573.0,859.0,17902.38,48283.39,690.0,529.0,-3.89,-70.0,95.0,-11899.74,181.0,-86.0,-1205.94,-10693.8,-42.0,-27.0,1372.0,35862.1,13155.11,90.41,53.13,1843.2,,103.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
656,2019-04-10,15.39,1005.0,3527.0,54286.03,2754.0,773.0,16696.44,37589.59,648.0,502.0,5.07,26.0,-464.0,8374.99,-397.0,-67.0,3932.0,4443.0,16.0,-5.0,1258.1,36630.6,12921.61,90.73,52.0,1828.8,,218.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
657,2019-04-11,20.46,1031.0,3063.0,62661.02,2357.0,706.0,20628.44,42032.59,664.0,497.0,-0.13,87.0,622.0,12265.39,564.0,58.0,19266.07,-7000.69,51.0,43.0,1233.93,35838.2,,90.76,,,,286.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
658,2019-04-12,20.33,1118.0,3685.0,74926.41,2921.0,764.0,39894.51,35031.9,715.0,540.0,-10.83,-26.0,2849.0,-12840.26,2478.0,371.0,-18978.53,6138.27,-47.0,39.0,1228.33,36020.1,,,,,,161.0,2019-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
