date,Zora
2021-11-02,501
2021-11-03,547
2021-11-04,479
2021-11-05,777
2021-11-06,686
2021-11-07,538
2021-11-08,521
2021-11-09,754
2021-11-10,550
2021-11-11,608
2021-11-12,729
2021-11-13,852
2021-11-14,1063
2021-11-15,745
2021-11-16,868
2021-11-17,737
2021-11-18,689
2021-11-19,742
2021-11-20,504
2021-11-21,432
2021-11-22,524
2021-11-23,498
2021-11-24,459
2021-11-25,456
2021-11-26,812
2021-11-27,641
2021-11-28,775
2021-11-29,669
2021-11-30,541
2021-12-01,679
2021-12-02,646
2021-12-03,1176
2021-12-04,872
2021-12-05,865
2021-12-06,806
2021-12-07,935
2021-12-08,811
2021-12-09,897
2021-12-10,725
2021-12-11,546
2021-12-12,722
2021-12-13,860
2021-12-14,851
2021-12-15,701
2021-12-16,643
2021-12-17,158
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-22,0
2021-12-23,0
2021-12-24,0
2022-02-04,0
2022-02-05,0
2022-02-06,0
2022-02-07,415
2022-02-08,807
2022-02-09,735
2022-02-10,736
2022-02-11,838
2022-02-12,827
2022-02-13,676
2022-02-14,762
2022-02-15,1015
2022-02-16,981
2022-02-17,954
2022-02-18,1109
2022-02-19,899
2022-02-20,569
2022-02-21,304
2022-02-22,0
2022-02-23,0
2022-02-24,0
2022-02-25,406
2022-02-26,411
2022-02-27,442
2022-02-28,502
2022-03-01,459
2022-03-02,378
2022-03-03,556
2022-03-04,1248
2022-03-05,900
2022-03-06,1002
2022-03-07,856
2022-03-08,941
2022-03-09,839
2022-03-10,762
2022-03-11,1021
2022-03-12,1026
2022-03-13,1071
2022-03-14,758
2022-03-15,1060
2022-03-16,927
2022-03-17,911
2022-03-18,636
2022-03-19,845
2022-03-20,707
2022-03-21,620
2022-03-22,548
2022-03-23,731
2022-03-24,617
2022-03-25,589
2022-03-26,705
2022-03-27,784
2022-03-28,734
2022-03-29,780
2022-03-30,692
2022-03-31,654
2022-04-01,592
2022-04-02,508
2022-04-03,608
2022-04-04,450
2022-04-05,558
2022-04-06,524
2022-04-07,469
2022-04-08,913
2022-04-09,600
2022-04-10,938
2022-04-11,888
2022-04-12,561
2022-04-13,696
2022-04-14,758
2022-04-15,928
2022-04-16,939
2022-04-17,1007
2022-04-18,903
2022-04-19,934
2022-04-20,914
2022-04-21,800
2022-04-22,812
2022-04-23,782
2022-04-24,718
2022-04-25,554
2022-04-26,725
2022-04-27,572
2022-04-28,663
2022-04-29,571
2022-04-30,697
2022-05-01,870
2022-05-02,891
2022-05-03,709
2022-05-04,665
2022-05-05,746
2022-05-06,893
2022-05-07,875
2022-05-08,787
2022-05-09,800
2022-05-10,910
2022-05-11,745
2022-05-12,708
2022-05-13,139
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,0
2022-07-01,0
2022-07-02,0
2022-07-03,0
2022-07-04,198
2022-07-05,317
2022-07-06,447
2022-07-07,1154
2022-07-08,122
2022-07-09,0
2022-07-10,0
2022-07-11,0
2022-07-12,0
2022-07-13,0
2022-07-14,0
2022-07-15,378
2022-07-16,550
2022-07-17,570
2022-07-18,327
2022-07-19,0
2022-07-20,0
2022-07-21,0
2022-07-22,544
2022-07-23,812
2022-07-24,597
2022-07-25,678
2022-07-26,610
2022-07-27,647
2022-07-28,742
2022-07-29,93
2022-07-30,0
2022-07-31,0
2022-08-01,335
2022-08-02,889
2022-08-03,791
2022-08-04,762
2022-08-05,430
2022-08-06,520
2022-08-07,649
2022-08-08,463
2022-08-09,690
2022-08-10,487
2022-08-11,501
2022-08-12,615
2022-08-13,712
2022-08-14,546
2022-08-15,598
2022-08-16,406
2022-08-17,634
2022-08-18,494
2022-08-19,713
2022-08-20,632
2022-08-21,764
2022-08-22,494
2022-08-23,680
2022-08-24,685
2022-08-25,616
