date,Decentraland LAND
2021-03-25,201
2021-03-26,0
2021-04-02,0
2021-04-03,124
2021-04-04,77
2021-04-05,226
2021-04-06,177
2021-04-07,130
2021-04-08,130
2021-04-09,37
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,0
2021-04-21,309
2021-04-22,81
2021-04-23,108
2021-04-24,55
2021-04-25,267
2021-04-26,268
2021-04-27,319
2021-04-28,0
2021-04-29,0
2021-04-30,0
2021-05-01,0
2021-05-02,0
2021-05-03,89
2021-05-04,142
2021-05-05,187
2021-05-06,258
2021-05-07,83
2021-05-08,184
2021-05-09,130
2021-05-10,285
2021-05-11,181
2021-05-12,182
2021-05-13,260
2021-05-14,173
2021-05-15,187
2021-05-16,261
2021-05-17,290
2021-05-18,221
2021-05-19,414
2021-05-20,242
2021-05-21,0
2021-05-28,0
2021-05-29,86
2021-05-30,330
2021-05-31,69
2021-06-01,87
2021-06-02,28
2021-06-03,0
2021-06-04,0
2021-07-16,83
2021-07-17,266
2021-07-18,193
2021-07-19,297
2021-07-20,148
2021-07-21,0
2021-07-22,0
2021-07-23,0
2021-07-30,215
2021-07-31,94
2021-08-01,150
2021-08-02,108
2021-08-03,445
2021-08-04,78
2021-08-05,279
2021-08-06,473
2021-08-07,201
2021-08-08,233
2021-08-09,114
2021-08-10,361
2021-08-11,140
2021-08-12,181
2021-08-13,0
2021-08-14,0
2021-08-15,0
2021-08-16,41
2021-08-17,46
2021-08-18,306
2021-08-19,222
2021-08-20,8
2021-08-21,10
2021-08-22,8
2021-08-23,26
2021-08-24,150
2021-08-25,2
2021-08-26,18
2021-08-27,215
2021-08-28,318
2021-08-29,205
2021-08-30,265
2021-08-31,108
2021-09-01,276
2021-09-02,100
2021-09-03,164
2021-09-04,0
2021-09-05,0
2021-09-06,0
2021-09-07,0
2021-09-08,0
2021-09-09,0
2021-09-10,0
2021-09-11,210
2021-09-12,78
2021-09-13,196
2021-09-14,66
2021-09-15,201
2021-09-16,219
2021-09-17,0
2021-09-24,156
2021-09-25,49
2021-09-26,105
2021-09-27,167
2021-09-28,204
2021-09-29,0
2021-09-30,0
2021-10-01,0
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,278
2021-10-14,126
2021-10-15,234
2021-10-16,353
2021-10-17,195
2021-10-18,170
2021-10-19,162
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-29,270
2021-10-30,258
2021-10-31,191
2021-11-01,242
2021-11-02,140
2021-11-03,0
2021-11-04,0
2021-11-05,0
2021-11-19,256
2021-11-20,147
2021-11-21,335
2021-11-22,321
2021-11-23,246
2021-11-24,0
2021-11-25,0
2021-11-26,0
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,0
