"DateTime","Primary sales USD","Secondary sales USD"
"2018-02-18 00:00:00",64260.05,106637.37
"2018-02-19 00:00:00",64241.56,127816.7
"2018-02-20 00:00:00",71892.48,193642.75
"2018-02-21 00:00:00",52812,38370.47
"2018-02-22 00:00:00",46131.94,31904.93
"2018-02-23 00:00:00",53263.41,62309.29
"2018-02-24 00:00:00",76716.95,90404.92
"2018-02-25 00:00:00",81217.75,38878.92
"2018-02-26 00:00:00",77995.58,51667.4
"2018-02-27 00:00:00",63681.61,99134.56
"2018-02-28 00:00:00",77698.33,44531.78
"2018-03-01 00:00:00",60662.23,32624.26
"2018-03-02 00:00:00",50507.01,26397.81
"2018-03-03 00:00:00",56189,27207.21
"2018-03-04 00:00:00",170883.45,42946.95
"2018-03-05 00:00:00",69907.99,64373.73
"2018-03-06 00:00:00",70132.28,49208.31
"2018-03-07 00:00:00",69366.89,95296.65
"2018-03-08 00:00:00",60411.47,39432.71
"2018-03-09 00:00:00",57949.33,31095.69
"2018-03-10 00:00:00",77405.45,19045.2
"2018-03-11 00:00:00",47456.41,17294.27
"2018-03-12 00:00:00",43508.28,25330.83
"2018-03-13 00:00:00",47285.2,15274.75
"2018-03-14 00:00:00",33709.87,22112.73
"2018-03-15 00:00:00",26670.09,13023.58
"2018-03-16 00:00:00",25684.83,20347.9
"2018-03-17 00:00:00",27442.51,22751.89
"2018-03-18 00:00:00",28331.56,10989.34
"2018-03-19 00:00:00",24332.84,27744.93
"2018-03-20 00:00:00",23224.63,192533.21
"2018-03-21 00:00:00",27412.85,232032.74
"2018-03-22 00:00:00",26601.62,112887.77
"2018-03-23 00:00:00",25348.22,266940.21
"2018-03-24 00:00:00",23903.83,93353.76
"2018-03-25 00:00:00",46527.83,67288.47
"2018-03-26 00:00:00",32333.94,63822.53
"2018-03-27 00:00:00",42026.12,61991.83
"2018-03-28 00:00:00",31586.68,158004.73
"2018-03-29 00:00:00",24985.23,63110.08
"2018-03-30 00:00:00",31067.08,181881.85
"2018-03-31 00:00:00",22221.92,55736.24
"2018-04-01 00:00:00",17923.32,55352.19
"2018-04-02 00:00:00",18145.65,41916.03
"2018-04-03 00:00:00",21390.18,54448.92
"2018-04-04 00:00:00",19814.4,29288.15
"2018-04-05 00:00:00",16497.23,46195.88
"2018-04-06 00:00:00",22083.52,45174.81
"2018-04-07 00:00:00",13395.04,28062.91
"2018-04-08 00:00:00",29850.42,40627.99
"2018-04-09 00:00:00",23825.64,24212.32
"2018-04-10 00:00:00",23630.56,28805.89
"2018-04-11 00:00:00",21260.99,48375.01
"2018-04-12 00:00:00",21028.72,21904.81
"2018-04-13 00:00:00",31191.61,59966.15
"2018-04-14 00:00:00",29637.88,55634.99
"2018-04-15 00:00:00",23343.41,67481.36
"2018-04-16 00:00:00",28535.01,31953.61
"2018-04-17 00:00:00",31719.31,52188.5
"2018-04-18 00:00:00",25184.52,40901.98
"2018-04-19 00:00:00",28686.29,30681.43
"2018-04-20 00:00:00",30378.51,19046.33
"2018-04-21 00:00:00",22984,22744.43
"2018-04-22 00:00:00",15661,33824.47
"2018-04-23 00:00:00",111846.96,43831.66
"2018-04-24 00:00:00",28611.53,53747.43
"2018-04-25 00:00:00",27241.46,66483.9
"2018-04-26 00:00:00",24379.38,36396.6
"2018-04-27 00:00:00",22747.17,36437.98
"2018-04-28 00:00:00",36352.68,22751.06
"2018-04-29 00:00:00",59036.47,40908.04
"2018-04-30 00:00:00",28007.13,79284.06
"2018-05-01 00:00:00",20037.44,47992.36
"2018-05-02 00:00:00",21405.98,73547.34
"2018-05-03 00:00:00",16261.36,50923.88
"2018-05-04 00:00:00",33591.88,50500.58
"2018-05-05 00:00:00",30428.51,56630.09
"2018-05-06 00:00:00",30844.81,29854.31
"2018-05-07 00:00:00",27296.08,30495.61
"2018-05-08 00:00:00",28597.52,50788.18
"2018-05-09 00:00:00",27635.02,28678.76
"2018-05-10 00:00:00",21398.04,32508.88
"2018-05-11 00:00:00",21549.74,49866.2
"2018-05-12 00:00:00",17125.84,20967.72
"2018-05-13 00:00:00",16067.71,28032.42
"2018-05-14 00:00:00",18174.36,10436.71
"2018-05-15 00:00:00",16019.39,10224.95
"2018-05-16 00:00:00",18998.91,24727.04
"2018-05-17 00:00:00",29662.06,22356.56
"2018-05-18 00:00:00",36657.97,15152.93
"2018-05-19 00:00:00",27455.8,17249.73
"2018-05-20 00:00:00",20869.96,32234.17
"2018-05-21 00:00:00",18637.26,12541.51
"2018-05-22 00:00:00",18578.65,12170.96
"2018-05-23 00:00:00",16709.82,11616.95
"2018-05-24 00:00:00",31415.98,11612.02
"2018-05-25 00:00:00",22807.12,29478.29
"2018-05-26 00:00:00",32187.25,16918.63
"2018-05-27 00:00:00",27323.48,13253.23
"2018-05-28 00:00:00",24568.19,23948.05
"2018-05-29 00:00:00",40719.83,10591.57
"2018-05-30 00:00:00",33401.78,27079.72
"2018-05-31 00:00:00",24132.29,20068.38
"2018-06-01 00:00:00",20838.88,12869.69
"2018-06-02 00:00:00",22672.84,24960.01
"2018-06-03 00:00:00",47701.68,10558.96
"2018-06-04 00:00:00",27211.88,22545.97
"2018-06-05 00:00:00",21305.1,34943.47
"2018-06-06 00:00:00",21065.57,32537.89
"2018-06-07 00:00:00",29369.92,33881.69
"2018-06-08 00:00:00",27079.51,40460.23
"2018-06-09 00:00:00",21374.27,14758.59
"2018-06-10 00:00:00",18003.84,22040.36
"2018-06-11 00:00:00",20534.31,21741.89
"2018-06-12 00:00:00",18310.99,17874.97
"2018-06-13 00:00:00",23523.04,27394.26
"2018-06-14 00:00:00",14481.89,31024.16
"2018-06-15 00:00:00",26309.79,23803.36
"2018-06-16 00:00:00",14583.42,13590.17
"2018-06-17 00:00:00",20482.91,39929.07
"2018-06-18 00:00:00",27152.33,72577.6
"2018-06-19 00:00:00",26131.91,70355.74
"2018-06-20 00:00:00",16299.4,29233.77
"2018-06-21 00:00:00",30088.69,41775.06
"2018-06-22 00:00:00",33053.36,25909.55
"2018-06-23 00:00:00",19293.52,29195.14
"2018-06-24 00:00:00",19237.19,34797.98
"2018-06-25 00:00:00",24848.43,20194.9
"2018-06-26 00:00:00",13435.53,26285.88
"2018-06-27 00:00:00",16868.98,21099.01
"2018-06-28 00:00:00",14582.97,26513.73
"2018-06-29 00:00:00",21071.89,39492.97
"2018-06-30 00:00:00",16822.69,19843.17
"2018-07-01 00:00:00",11343.42,8677.5
"2018-07-02 00:00:00",6424.74,11536.92
"2018-07-03 00:00:00",13191.91,18053.41
"2018-07-04 00:00:00",11368.4,92655.13
"2018-07-05 00:00:00",16826.55,16674.93
"2018-07-06 00:00:00",14157.47,8488.12
"2018-07-07 00:00:00",11908.85,5658.3
"2018-07-08 00:00:00",14277.45,8044.77
"2018-07-09 00:00:00",22512.19,14297.02
"2018-07-10 00:00:00",12585.21,19001.16
"2018-07-11 00:00:00",13955.84,26252.37
"2018-07-12 00:00:00",21927.44,22899.73
"2018-07-13 00:00:00",20558.35,26787.32
"2018-07-14 00:00:00",11660.64,7249.71
"2018-07-15 00:00:00",15410.36,16491.33
"2018-07-16 00:00:00",18852.62,37422.6
"2018-07-17 00:00:00",16630.14,25788
"2018-07-18 00:00:00",20289.73,26918.29
"2018-07-19 00:00:00",11610.2,21880.38
"2018-07-20 00:00:00",12859.72,13863.33
"2018-07-21 00:00:00",16629.56,13286.13
"2018-07-22 00:00:00",16468.6,36624.3
"2018-07-23 00:00:00",18079.48,24690.62
"2018-07-24 00:00:00",11011.45,41199.92
"2018-07-25 00:00:00",20320.54,21221.8
"2018-07-26 00:00:00",20141.94,24022.01
"2018-07-27 00:00:00",384039.54,31681.51
"2018-07-28 00:00:00",881896.15,15164.22
"2018-07-29 00:00:00",17903.14,12786.32
"2018-07-30 00:00:00",138936.15,35028.78
"2018-07-31 00:00:00",79027.15,15084.21
"2018-08-01 00:00:00",19467.78,14567.8
"2018-08-02 00:00:00",220724.32,12227.1
"2018-08-03 00:00:00",24904.35,21290.53
"2018-08-04 00:00:00",40826.8,12934.35
"2018-08-05 00:00:00",42653.68,15012.94
"2018-08-06 00:00:00",30422.36,13827.57
"2018-08-07 00:00:00",21171.58,31846.56
"2018-08-08 00:00:00",21317.3,12676.42
"2018-08-09 00:00:00",23136.74,9998.22
"2018-08-10 00:00:00",9428.47,11704.25
"2018-08-11 00:00:00",12716.97,7804.54
"2018-08-12 00:00:00",14644.66,10790.4
"2018-08-13 00:00:00",15583.48,18609.44
"2018-08-14 00:00:00",52925.63,25423.1
"2018-08-15 00:00:00",41816.99,23393.85
"2018-08-16 00:00:00",38117.51,13558.5
"2018-08-17 00:00:00",30813.32,27078.51
"2018-08-18 00:00:00",46092.97,42573.03
"2018-08-19 00:00:00",47689.69,25737.71
"2018-08-20 00:00:00",27164.57,21265.8
"2018-08-21 00:00:00",51293.19,31152.43
"2018-08-22 00:00:00",30076.7,21714.69
"2018-08-23 00:00:00",44307.14,56879.15
"2018-08-24 00:00:00",54503.95,40374.12
"2018-08-25 00:00:00",132208.41,24848.47
"2018-08-26 00:00:00",35387.72,14989.45
"2018-08-27 00:00:00",28523.62,35571.5
"2018-08-28 00:00:00",38564.46,40991.75
"2018-08-29 00:00:00",39556.1,30081.87
"2018-08-30 00:00:00",43086.94,24319.28
"2018-08-31 00:00:00",51155.13,31395.78
"2018-09-01 00:00:00",52963.67,26254.26
"2018-09-02 00:00:00",55953.36,19532.34
"2018-09-03 00:00:00",37441.53,38213.59
"2018-09-04 00:00:00",26927.16,199132.64
"2018-09-05 00:00:00",32666.74,62104.7
"2018-09-06 00:00:00",23945.84,27813.09
"2018-09-07 00:00:00",35204.32,40570.65
"2018-09-08 00:00:00",25542.81,72674.25
"2018-09-09 00:00:00",35805.98,51837.36
"2018-09-10 00:00:00",22861.47,126876.66
"2018-09-11 00:00:00",26408.68,52934.53
"2018-09-12 00:00:00",40781.76,118217.12
"2018-09-13 00:00:00",20901.22,142377.76
"2018-09-14 00:00:00",23264.02,122911.85
"2018-09-15 00:00:00",13943.96,89231.37
